_id,industry_major_cate,std_year_month,std_year,std_month,consumption_amount,region
65e932a1bb908e26c8044a3b,여가서비스업,202009,2020,9,13754849,경북
65e932a1bb908e26c8044a3c,쇼핑업,202009,2020,9,19866999,경북
65e932a1bb908e26c8044a3d,운송업,202009,2020,9,43787,경북
65e932a1bb908e26c8044a3e,여행업,202009,2020,9,3997,경북
65e932a1bb908e26c8044a3f,숙박업,202009,2020,9,3440011,경북
65e932a1bb908e26c8044a40,식음료업,202008,2020,8,67238141,경북
65e932a1bb908e26c8044a41,여가서비스업,202008,2020,8,15150516,경북
65e932a1bb908e26c8044a42,쇼핑업,202008,2020,8,19175283,경북
65e932a1bb908e26c8044a43,운송업,202008,2020,8,178793,경북
65e932a1bb908e26c8044a44,숙박업,202008,2020,8,7375248,경북
65e932a1bb908e26c8044a45,여가서비스업,202010,2020,10,17092788,경북
65e932a1bb908e26c8044a46,식음료업,202010,2020,10,57547271,경북
65e932a1bb908e26c8044a47,여행업,202010,2020,10,17295,경북
65e932a1bb908e26c8044a48,숙박업,202011,2020,11,4805412,경북
65e932a1bb908e26c8044a49,운송업,202011,2020,11,55506,경북
65e932a1bb908e26c8044a4a,쇼핑업,202011,2020,11,21641415,경북
65e932a1bb908e26c8044a4b,여가서비스업,202011,2020,11,14502532,경북
65e932a1bb908e26c8044a4c,식음료업,202011,2020,11,52773320,경북
65e932a1bb908e26c8044a4d,여행업,202011,2020,11,11211,경북
65e932a1bb908e26c8044a4e,숙박업,202012,2020,12,3390818,경북
65e932a1bb908e26c8044a4f,운송업,202012,2020,12,35513,경북
65e932a1bb908e26c8044a50,쇼핑업,202012,2020,12,18349049,경북
65e932a1bb908e26c8044a51,여가서비스업,202012,2020,12,9230171,경북
65e932a1bb908e26c8044a52,식음료업,202012,2020,12,37969679,경북
65e932a1bb908e26c8044a53,여행업,202012,2020,12,19410,경북
65e932a1bb908e26c8044a54,식음료업,202002,2020,2,38094101,경북
65e932a1bb908e26c8044a55,쇼핑업,202004,2020,4,17967831,경북
65e932a1bb908e26c8044a56,운송업,202004,2020,4,25954,경북
65e932a1bb908e26c8044a57,숙박업,202004,2020,4,2110645,경북
65e932a1bb908e26c8044a58,여행업,202003,2020,3,6820,경북
65e932a1bb908e26c8044a59,식음료업,202003,2020,3,28195064,경북
65e932a1bb908e26c8044a5a,여가서비스업,202003,2020,3,8173850,경북
65e932a1bb908e26c8044a5b,쇼핑업,202003,2020,3,13525186,경북
65e932a1bb908e26c8044a5c,운송업,202003,2020,3,17431,경북
65e932a1bb908e26c8044a5d,숙박업,202003,2020,3,1525553,경북
65e932a1bb908e26c8044a5e,여행업,202002,2020,2,24954,경북
65e932a1bb908e26c8044a5f,여가서비스업,202004,2020,4,12080240,경북
65e932a1bb908e26c8044a60,여가서비스업,202002,2020,2,7181094,경북
65e932a1bb908e26c8044a61,쇼핑업,202002,2020,2,13925066,경북
65e932a1bb908e26c8044a62,운송업,202002,2020,2,64105,경북
65e932a1bb908e26c8044a63,숙박업,202002,2020,2,3007741,경북
65e932a1bb908e26c8044a64,여행업,202001,2020,1,26012,경북
65e932a1bb908e26c8044a65,식음료업,202001,2020,1,55041128,경북
65e932a1bb908e26c8044a66,여가서비스업,202001,2020,1,6876844,경북
65e932a1bb908e26c8044a67,쇼핑업,202001,2020,1,20751358,경북
65e932a1bb908e26c8044a68,운송업,202001,2020,1,98312,경북
65e932a1bb908e26c8044a69,운송업,202006,2020,6,74374,경북
65e932a1bb908e26c8044a6a,여행업,202007,2020,7,18008,경북
65e932a1bb908e26c8044a6b,식음료업,202007,2020,7,55070023,경북
65e932a1bb908e26c8044a6c,여가서비스업,202007,2020,7,13949740,경북
65e932a1bb908e26c8044a6d,쇼핑업,202007,2020,7,17865997,경북
65e932a1bb908e26c8044a6e,운송업,202007,2020,7,85083,경북
65e932a1bb908e26c8044a6f,숙박업,202007,2020,7,4681765,경북
65e932a1bb908e26c8044a70,여행업,202006,2020,6,13452,경북
65e932a1bb908e26c8044a71,식음료업,202006,2020,6,50953191,경북
65e932a1bb908e26c8044a72,여가서비스업,202006,2020,6,15056954,경북
