_id,region,std_year_month,std_year,std_month,tour_trend,num_mention
65e92ddfbb908e26c8043a75,대구,202003,2020,3,휴식/힐링,6135
65e92ddfbb908e26c8043a76,대구,202002,2020,2,휴식/힐링,5777
65e92ddfbb908e26c8043a77,대구,202012,2020,12,휴식/힐링,5754
65e92ddfbb908e26c8043a78,대구,202006,2020,6,레포츠,5574
65e92ddfbb908e26c8043a79,대구,202007,2020,7,레포츠,5355
65e92ddfbb908e26c8043a7a,대구,202012,2020,12,레포츠,5204
65e92ddfbb908e26c8043a7b,대구,202005,2020,5,레포츠,5159
65e92ddfbb908e26c8043a7c,대구,202011,2020,11,레포츠,4997
65e92ddfbb908e26c8043a7d,대구,202008,2020,8,레포츠,4701
65e92ddfbb908e26c8043a7e,대구,202004,2020,4,레포츠,4396
65e92ddfbb908e26c8043a7f,대구,202009,2020,9,레포츠,4200
65e92ddfbb908e26c8043a80,대구,202001,2020,1,레포츠,3783
65e92ddfbb908e26c8043a81,대구,202003,2020,3,레포츠,3641
65e92ddfbb908e26c8043a82,대구,202001,2020,1,기타,3001
65e92ddfbb908e26c8043a83,대구,202003,2020,3,기타,2566
65e92ddfbb908e26c8043a84,대구,202007,2020,7,기타,2487
65e92ddfbb908e26c8043a85,대구,202010,2020,10,기타,2451
65e92ddfbb908e26c8043a86,대구,202008,2020,8,기타,2393
65e92ddfbb908e26c8043a87,대구,202005,2020,5,기타,2317
65e92ddfbb908e26c8043a88,대구,202006,2020,6,기타,2230
65e92ddfbb908e26c8043a89,대구,202009,2020,9,기타,2194
65e92ddfbb908e26c8043a8a,대구,202011,2020,11,기타,2182
65e92ddfbb908e26c8043a8b,대구,202004,2020,4,기타,2107
65e92ddfbb908e26c8043a8c,대구,202001,2020,1,미식,2063
65e92ddfbb908e26c8043a8d,대구,202012,2020,12,기타,2017
65e92ddfbb908e26c8043a8e,대구,202007,2020,7,미식,1864
65e92ddfbb908e26c8043a8f,대구,202002,2020,2,미식,1839
65e92ddfbb908e26c8043a90,대구,202008,2020,8,미식,1713
65e92ddfbb908e26c8043a91,대구,202006,2020,6,미식,1656
65e92ddfbb908e26c8043a92,대구,202010,2020,10,미식,1638
65e92ddfbb908e26c8043a93,대구,202005,2020,5,미식,1622
65e92ddfbb908e26c8043a94,대구,202009,2020,9,미식,1527
65e92ddfbb908e26c8043a95,대구,202004,2020,4,미식,1484
65e92ddfbb908e26c8043a96,대구,202011,2020,11,미식,1468
65e92ddfbb908e26c8043a97,대구,202012,2020,12,미식,1440
65e92ddfbb908e26c8043a98,대구,202003,2020,3,미식,1202
65e92ddfbb908e26c8043a99,대구,202001,2020,1,체험,974
65e92ddfbb908e26c8043a9a,대구,202005,2020,5,체험,630
65e92ddfbb908e26c8043a9b,대구,202002,2020,2,체험,548
65e92ddfbb908e26c8043a9c,대구,202007,2020,7,체험,467
65e92ddfbb908e26c8043a9d,대구,202010,2020,10,체험,454
65e92ddfbb908e26c8043a9e,대구,202011,2020,11,체험,449
65e92ddfbb908e26c8043a9f,대구,202012,2020,12,체험,419
65e92ddfbb908e26c8043aa0,대구,202004,2020,4,체험,406
65e92ddfbb908e26c8043aa1,대구,202008,2020,8,체험,366
65e92ddfbb908e26c8043aa2,대구,202006,2020,6,체험,362
65e92ddfbb908e26c8043aa3,대구,202003,2020,3,체험,359
65e92ddfbb908e26c8043aa4,대구,202009,2020,9,체험,276
65e92ddfbb908e26c8043aa5,대전,202004,2020,4,휴식/힐링,4218
65e92ddfbb908e26c8043aa6,대전,202006,2020,6,휴식/힐링,4145
65e92ddfbb908e26c8043aa7,대전,202010,2020,10,휴식/힐링,4139
65e92ddfbb908e26c8043aa8,대전,202005,2020,5,휴식/힐링,4132
65e92ddfbb908e26c8043aa9,대전,202009,2020,9,레포츠,3846
65e92ddfbb908e26c8043aaa,대전,202008,2020,8,레포츠,3668
65e92ddfbb908e26c8043aab,대전,202010,2020,10,레포츠,3635
65e92ddfbb908e26c8043aac,대전,202007,2020,7,휴식/힐링,3527
65e92ddfbb908e26c8043aad,대전,202008,2020,8,휴식/힐링,3512
65e92ddfbb908e26c8043aae,대전,202007,2020,7,레포츠,3460
65e92ddfbb908e26c8043aaf,대전,202011,2020,11,휴식/힐링,3441
65e92ddfbb908e26c8043ab0,대전,202009,2020,9,휴식/힐링,3275
65e92ddfbb908e26c8043ab1,대전,202005,2020,5,레포츠,3139
65e92ddfbb908e26c8043ab2,대전,202003,2020,3,휴식/힐링,3057
65e92ddfbb908e26c8043ab3,대전,202012,2020,12,휴식/힐링,2842
65e92ddfbb908e26c8043ab4,대전,202001,2020,1,휴식/힐링,2727
65e92ddfbb908e26c8043ab5,대전,202012,2020,12,레포츠,2716
65e92ddfbb908e26c8043ab6,대전,202006,2020,6,레포츠,2661
65e92ddfbb908e26c8043ab7,대전,202011,2020,11,레포츠,2625
65e92ddfbb908e26c8043ab8,대전,202004,2020,4,레포츠,2545
65e92ddfbb908e26c8043ab9,대전,202002,2020,2,휴식/힐링,2454
65e92ddfbb908e26c8043aba,대전,202003,2020,3,레포츠,1881
65e92ddfbb908e26c8043abb,대전,202001,2020,1,레포츠,1686
65e92ddfbb908e26c8043abc,대전,202002,2020,2,레포츠,1595
65e92ddfbb908e26c8043abd,대전,202005,2020,5,기타,1591
65e92ddfbb908e26c8043abe,대전,202008,2020,8,기타,1494
65e92ddfbb908e26c8043abf,대전,202007,2020,7,기타,1465
65e92ddfbb908e26c8043ac0,대전,202002,2020,2,기타,1443
65e92ddfbb908e26c8043ac1,대전,202010,2020,10,기타,1316
65e92ddfbb908e26c8043ac2,대전,202006,2020,6,기타,1271
65e92ddfbb908e26c8043ac3,대전,202011,2020,11,기타,1269
65e92ddfbb908e26c8043ac4,대전,202009,2020,9,기타,1254
